vibration,temperature,oil_condition,load_levels,operating_hours
1.2,42.4,1,22,520
0.8,38.9,2,18,320
1.4,45.1,1,25,780
0.6,36.2,2,15,210
1.1,43.7,1,20,650
0.9,39.5,2,17,410
1.3,44.8,1,23,710
0.7,37.4,2,16,290
1.5,46.2,1,26,890
0.5,35.8,2,14,180
1.2,43.5,1,21,600
1.0,40.2,2,19,480
1.4,45.7,1,24,820
0.8,38.3,2,16,350
1.3,44.0,1,23,750
0.9,39.1,2,17,430
1.1,42.9,1,20,610
1.0,40.8,2,18,460
1.6,47.5,1,27,950
0.4,34.1,2,13,150
1.2,43.2,1,21,580
0.8,38.9,2,16,370
1.3,44.3,1,22,720
0.9,40.6,2,17,400
1.5,46.7,1,25,910
0.6,35.5,2,14,200
1.1,42.1,1,20,590
0.7,37.8,2,15,260
1.4,45.9,1,24,860
0.9,39.1,2,17,420
1.2,44.0,1,21,640
0.5,36.5,2,13,190
1.5,46.8,1,25,880
1.0,40.9,2,18,490
1.3,44.6,1,22,740
0.8,38.2,2,16,340
1.1,42.4,1,20,605
0.9,39.7,2,17,415
1.6,47.8,1,27,940
0.4,33.0,2,12,130
1.2,43.6,1,21,570
0.8,39.3,2,16,390
1.3,45.2,1,22,730
1.0,41.0,2,18,470
1.5,46.4,1,25,900
0.6,35.6,2,14,195
1.1,42.7,1,20,595
0.7,37.1,2,15,245
1.4,45.1,1,24,840
0.9,39.7,2,17,435
1.2,44.3,1,21,620
0.8,38.0,2,15,330
1.5,46.5,1,25,870
0.7,37.5,2,15,255
1.3,44.9,1,22,745
1.0,40.4,2,18,455
1.1,42.2,1,20,600
0.9,39.3,2,17,420
1.6,47.1,1,27,945
0.4,32.5,2,11,110
1.2,43.9,1,21,575
0.8,39.5,2,16,395
1.3,45.5,1,22,735
1.0,41.3,2,18,475
1.5,46.9,1,25,905
0.6,35.3,2,14,185
1.1,42.5,1,20,590
0.5,36.8,2,13,205
1.4,45.3,1,24,850
0.9,40.0,2,17,440
1.2,44.7,1,21,625
0.8,38.5,2,16,345
1.5,46.9,1,25,885
0.7,37.2,2,15,250
1.3,45.1,1,22,750
1.0,40.7,2,18,460
1.1,42.0,1,19,595
0.8,38.4,2,16,385
1.6,47.5,1,27,955
0.3,32.0,2,10,100
1.2,43.1,1,21,565
0.9,39.6,2,17,425
1.3,44.8,1,22,725
1.0,41.5,2,18,480
1.5,46.2,1,25,895
0.6,35.0,2,14,190
1.1,42.3,1,20,585
0.7,37.0,2,15,240
1.4,45.8,1,24,845
0.8,39.2,2,16,355
1.2,44.1,1,21,615
0.7,38.0,2,15,275
1.5,46.6,1,25,875
1.0,40.2,2,18,450
1.3,44.4,1,22,740
0.9,39.5,2,17,410
1.1,41.8,1,19,590
0.9,40.9,2,17,405
1.6,47.3,1,27,960
