vibration,temperature,oil_condition,load_levels,operating_hours
4.2,72.4,5,58,6520
3.7,68.9,6,55,5200
4.8,79.3,5,62,7800
3.2,65.2,6,52,4900
4.5,75.7,5,60,7100
3.6,67.6,6,53,5500
4.1,73.8,5,57,6300
3.8,69.4,6,54,5400
4.7,78.1,5,63,7600
3.1,64.8,6,51,4600
4.3,74.5,5,59,6700
3.9,70.2,6,55,5800
4.6,77.4,5,61,7200
3.4,66.3,6,52,5100
4.4,76.0,5,60,7000
3.7,68.1,6,53,5300
4.0,72.9,5,57,6100
3.8,69.8,6,54,5600
4.9,80.5,5,64,8000
3.0,64.1,6,50,4300
4.2,73.2,5,58,6400
3.6,67.9,6,52,5200
4.5,75.3,5,61,6800
3.9,70.6,6,55,5700
4.8,78.7,5,63,7700
3.1,65.5,6,50,4500
4.1,72.1,5,57,6200
3.4,66.8,6,51,4800
4.6,76.9,5,61,7100
3.8,69.1,6,54,5500
4.3,74.0,5,59,6600
3.2,65.5,6,50,4400
4.7,77.8,5,62,7400
3.9,70.9,6,55,5900
4.4,75.6,5,60,6950
3.5,67.2,6,53,5300
4.0,72.4,5,57,6050
3.7,68.7,6,53,5400
4.9,79.8,5,64,7900
3.0,63.0,6,49,4100
4.2,73.6,5,58,6450
3.8,69.3,6,54,5350
4.5,76.2,5,61,6850
3.9,71.0,6,55,5750
4.8,78.4,5,63,7650
3.2,64.6,6,50,4400
4.1,72.7,5,57,6150
3.4,66.1,6,51,4750
4.6,77.1,5,61,7250
3.8,69.7,6,54,5450
4.3,74.3,5,59,6550
3.6,68.0,6,52,5150
4.7,77.5,5,62,7450
3.4,66.5,6,51,4850
4.4,75.9,5,60,6750
3.9,70.4,6,55,5650
4.0,72.2,5,57,6000
3.7,68.3,6,53,5350
4.9,80.1,5,64,7950
3.0,62.5,6,48,3900
4.2,73.9,5,58,6500
3.8,69.5,6,54,5400
4.5,76.5,5,61,6900
3.9,71.3,6,55,5800
4.8,78.9,5,63,7750
3.2,64.3,6,50,4300
4.1,72.5,5,57,6100
3.3,65.8,6,51,4600
4.6,77.3,5,61,7300
3.8,70.0,6,54,5500
4.3,74.7,5,59,6650
3.5,67.5,6,52,5250
4.7,77.9,5,62,7500
3.4,66.2,6,51,4800
4.4,76.1,5,60,6800
3.9,70.7,6,55,5700
4.0,72.0,5,56,5950
3.6,68.4,6,53,5300
4.9,79.5,5,64,7850
3.0,62.0,6,47,3700
4.2,73.1,5,58,6350
3.7,68.6,6,53,5450
4.5,75.8,5,61,6750
3.9,71.5,6,55,5850
4.8,78.2,5,63,7600
3.2,64.0,6,50,4200
4.1,72.3,5,57,6050
3.4,66.0,6,51,4700
4.6,76.8,5,61,7150
3.8,69.2,6,54,5350
4.3,74.1,5,59,6450
3.5,67.0,6,52,5100
4.7,77.6,5,62,7350
3.9,70.2,6,55,5600
4.4,75.4,5,60,6700
3.7,68.5,6,53,5300
4.0,71.8,5,56,5900
3.8,69.9,6,54,5500
4.9,80.3,5,64,8000
